file_path,file_class,file_name,A3
database_normalized\AircraftBuoyant\m1337.obj,AircraftBuoyant,m1337.obj,"[0.01912 0.05018 0.07546 0.09279 0.10427 0.11141 0.10729 0.10135 0.0896
 0.07288 0.05802 0.04172 0.02973 0.0199  0.0121  0.00695 0.00419 0.00187
 0.00083 0.00034]"
database_normalized\AircraftBuoyant\m1338.obj,AircraftBuoyant,m1338.obj,"[0.01788 0.04795 0.07403 0.09172 0.10621 0.11114 0.1085  0.10164 0.08976
 0.0751  0.05842 0.04317 0.03051 0.02059 0.01137 0.00667 0.00313 0.00152
 0.00048 0.00021]"
database_normalized\AircraftBuoyant\m1339.obj,AircraftBuoyant,m1339.obj,"[0.05076 0.09678 0.09112 0.08806 0.08961 0.08445 0.07784 0.07113 0.06367
 0.05839 0.05259 0.04367 0.03659 0.02933 0.02174 0.0174  0.01228 0.00824
 0.00485 0.0015 ]"
database_normalized\AircraftBuoyant\m1340.obj,AircraftBuoyant,m1340.obj,"[0.08153 0.11072 0.10671 0.07119 0.06631 0.06697 0.06825 0.06534 0.06012
 0.05611 0.04936 0.04055 0.03377 0.02949 0.02508 0.02181 0.0187  0.01392
 0.01052 0.00355]"
database_normalized\AircraftBuoyant\m1341.obj,AircraftBuoyant,m1341.obj,"[0.0758  0.11863 0.09831 0.08016 0.07502 0.07283 0.06739 0.0609  0.05666
 0.04896 0.04361 0.03743 0.03242 0.02745 0.02483 0.02428 0.0227  0.0175
 0.01137 0.00375]"
database_normalized\AircraftBuoyant\m1342.obj,AircraftBuoyant,m1342.obj,"[0.10732 0.08165 0.08011 0.08131 0.08085 0.07839 0.07156 0.05932 0.05667
 0.05278 0.04949 0.04375 0.03981 0.03226 0.0258  0.02154 0.01606 0.01202
 0.0068  0.00251]"
database_normalized\AircraftBuoyant\m1343.obj,AircraftBuoyant,m1343.obj,"[0.02075 0.05679 0.08221 0.09889 0.10963 0.10997 0.10301 0.09304 0.07792
 0.06491 0.05278 0.04135 0.02988 0.02107 0.01517 0.00956 0.00611 0.00401
 0.00222 0.00073]"
database_normalized\AircraftBuoyant\m1344.obj,AircraftBuoyant,m1344.obj,"[0.1258  0.06247 0.07279 0.08178 0.08304 0.08322 0.07492 0.06258 0.05586
 0.05338 0.04605 0.03973 0.03477 0.02923 0.02312 0.02149 0.02135 0.01584
 0.00884 0.00374]"
database_normalized\AircraftBuoyant\m1345.obj,AircraftBuoyant,m1345.obj,"[0.05348 0.09026 0.09181 0.09182 0.08602 0.08277 0.08065 0.07562 0.06892
 0.05925 0.04659 0.03906 0.03353 0.0267  0.02197 0.01779 0.01344 0.01055
 0.00692 0.00285]"
database_normalized\AircraftBuoyant\m1346.obj,AircraftBuoyant,m1346.obj,"[0.0544  0.11637 0.1215  0.10457 0.08109 0.06703 0.05619 0.05008 0.04382
 0.04141 0.03991 0.03692 0.03701 0.03594 0.03382 0.02936 0.02478 0.0162
 0.00778 0.00182]"
