file_path,file_class,file_name,D4
database_normalized\AircraftBuoyant\m1337.obj,AircraftBuoyant,m1337.obj,"[2.42427e-01 1.74825e-01 1.34540e-01 1.06514e-01 8.48510e-02 6.77110e-02
 5.32590e-02 4.10930e-02 3.11890e-02 2.28870e-02 1.57880e-02 1.02580e-02
 6.39500e-03 3.87500e-03 2.17300e-03 1.19100e-03 5.95000e-04 3.04000e-04
 9.80000e-05 2.70000e-05]"
database_normalized\AircraftBuoyant\m1338.obj,AircraftBuoyant,m1338.obj,"[2.51273e-01 1.78329e-01 1.37710e-01 1.08367e-01 8.54030e-02 6.74080e-02
 5.27010e-02 3.98610e-02 2.93530e-02 2.07170e-02 1.33620e-02 7.92900e-03
 4.07900e-03 1.96800e-03 8.62000e-04 4.13000e-04 1.73000e-04 6.40000e-05
 2.50000e-05 3.00000e-06]"
database_normalized\AircraftBuoyant\m1339.obj,AircraftBuoyant,m1339.obj,"[4.49512e-01 1.95489e-01 1.15810e-01 7.38830e-02 5.12500e-02 3.65660e-02
 2.56550e-02 1.74330e-02 1.19950e-02 7.98200e-03 5.31600e-03 3.45200e-03
 2.28800e-03 1.48900e-03 9.04000e-04 5.23000e-04 2.65000e-04 1.25000e-04
 5.20000e-05 1.10000e-05]"
database_normalized\AircraftBuoyant\m1340.obj,AircraftBuoyant,m1340.obj,"[3.73575e-01 2.10967e-01 1.34341e-01 8.91370e-02 5.91530e-02 3.90780e-02
 2.77080e-02 1.98590e-02 1.39880e-02 1.00770e-02 7.27100e-03 5.25000e-03
 3.87600e-03 2.65700e-03 1.59700e-03 8.49000e-04 3.66000e-04 1.64000e-04
 6.80000e-05 1.90000e-05]"
database_normalized\AircraftBuoyant\m1341.obj,AircraftBuoyant,m1341.obj,"[4.16939e-01 2.16465e-01 1.28822e-01 8.10560e-02 5.14320e-02 3.27160e-02
 2.06010e-02 1.39810e-02 9.88600e-03 7.31700e-03 5.58800e-03 4.47800e-03
 3.47900e-03 2.56200e-03 1.94400e-03 1.29900e-03 8.06000e-04 4.10000e-04
 1.84000e-04 3.50000e-05]"
database_normalized\AircraftBuoyant\m1342.obj,AircraftBuoyant,m1342.obj,"[6.36014e-01 1.34797e-01 7.09110e-02 4.48340e-02 3.05430e-02 2.24930e-02
 1.69630e-02 1.24930e-02 9.51700e-03 6.96800e-03 4.92100e-03 3.42000e-03
 2.33300e-03 1.60300e-03 1.00400e-03 6.22000e-04 3.72000e-04 1.32000e-04
 4.90000e-05 1.10000e-05]"
database_normalized\AircraftBuoyant\m1343.obj,AircraftBuoyant,m1343.obj,"[3.36197e-01 2.06167e-01 1.39009e-01 9.86270e-02 7.02570e-02 5.06080e-02
 3.55760e-02 2.42910e-02 1.62210e-02 1.01690e-02 5.97000e-03 3.05400e-03
 1.55200e-03 9.35000e-04 6.20000e-04 4.10000e-04 1.87000e-04 8.90000e-05
 4.80000e-05 1.30000e-05]"
database_normalized\AircraftBuoyant\m1344.obj,AircraftBuoyant,m1344.obj,"[6.45854e-01 1.22957e-01 5.91950e-02 4.16970e-02 3.24380e-02 2.51440e-02
 1.93830e-02 1.47660e-02 1.09890e-02 8.26700e-03 6.14000e-03 4.42000e-03
 3.28400e-03 2.24300e-03 1.48400e-03 9.64000e-04 4.47000e-04 2.40000e-04
 7.10000e-05 1.70000e-05]"
database_normalized\AircraftBuoyant\m1345.obj,AircraftBuoyant,m1345.obj,"[5.08176e-01 1.95646e-01 1.10454e-01 6.85560e-02 4.36810e-02 2.71700e-02
 1.72090e-02 1.08630e-02 6.99600e-03 4.43800e-03 2.68700e-03 1.65000e-03
 9.96000e-04 5.99000e-04 4.05000e-04 2.33000e-04 1.35000e-04 8.00000e-05
 1.90000e-05 7.00000e-06]"
database_normalized\AircraftBuoyant\m1346.obj,AircraftBuoyant,m1346.obj,"[3.36381e-01 2.11639e-01 1.48013e-01 1.06227e-01 7.52340e-02 5.13310e-02
 3.31380e-02 1.97260e-02 9.63000e-03 4.57300e-03 2.38800e-03 9.61000e-04
 4.13000e-04 2.03000e-04 8.30000e-05 3.50000e-05 1.60000e-05 5.00000e-06
 1.00000e-06 3.00000e-06]"
database_normalized\AircraftBuoyant\m1347.obj,AircraftBuoyant,m1347.obj,"[5.90957e-01 1.43879e-01 8.04940e-02 5.42240e-02 3.77940e-02 2.72590e-02
 1.97600e-02 1.42170e-02 1.02930e-02 7.31300e-03 5.09900e-03 3.49500e-03
 2.33900e-03 1.40600e-03 7.93000e-04 3.84000e-04 1.80000e-04 6.80000e-05
 2.30000e-05 2.30000e-05]"
database_normalized\AircraftBuoyant\m1348.obj,AircraftBuoyant,m1348.obj,"[3.21846e-01 2.06332e-01 1.47079e-01 1.06726e-01 7.76370e-02 5.46120e-02
 3.72430e-02 2.31880e-02 1.30130e-02 6.32200e-03 3.18600e-03 1.55000e-03
 6.76000e-04 3.22000e-04 1.53000e-04 6.70000e-05 2.70000e-05 1.30000e-05
 3.00000e-06 5.00000e-06]"
database_normalized\AircraftBuoyant\m1349.obj,AircraftBuoyant,m1349.obj,"[4.63703e-01 2.24557e-01 1.33451e-01 8.01370e-02 4.55210e-02 2.47090e-02
 1.37150e-02 7.29200e-03 3.65900e-03 1.68700e-03 7.72000e-04 3.97000e-04
 1.99000e-04 1.10000e-04 4.50000e-05 1.70000e-05 1.20000e-05 1.00000e-05
 2.00000e-06 5.00000e-06]"
database_normalized\AircraftBuoyant\m1350.obj,AircraftBuoyant,m1350.obj,"[3.14716e-01 1.83928e-01 1.32349e-01 9.96660e-02 7.60460e-02 5.74840e-02
 4.29610e-02 3.11060e-02 2.19170e-02 1.48990e-02 9.89600e-03 6.34600e-03
 3.94300e-03 2.34800e-03 1.35100e-03 6.40000e-04 2.89000e-04 8.80000e-05
 2.20000e-05 5.00000e-06]"
