file_path,file_class,file_name,feature_vector
database_normalized\AircraftBuoyant\m1337.obj,AircraftBuoyant,m1337.obj,"[0.2971074255260968, -0.06325949121120085, -0.023742976431053504, -0.11619446671216256, -0.1658831034129255, -0.07905245948256144, 0.01912, 0.05018, 0.07546, 0.09279, 0.10427, 0.11141, 0.10729, 0.10135, 0.0896, 0.07288, 0.05802, 0.04172, 0.02973, 0.0199, 0.0121, 0.00695, 0.00419, 0.00187, 0.00083, 0.00034, 0.105183, 0.060725, 0.045797, 0.044504, 0.03686, 0.082094, 0.02497, 0.049224, 0.066645, 0.10582, 0.064768, 0.201802, 0.062038, 0.0, 0.024889, 0.0, 0.0, 0.0, 0.0, 0.024681, 0.002532, 0.010854, 0.017041, 0.024398, 0.029644, 0.038201, 0.045767, 0.049366, 0.055101, 0.061755, 0.067007, 0.074136, 0.078974, 0.086179, 0.091185, 0.096708, 0.10001, 0.048601, 0.016116, 0.006425, 0.000358, 0.002421, 0.006891, 0.014758, 0.025503, 0.034154, 0.044113, 0.055804, 0.066333, 0.077037, 0.087659, 0.096134, 0.101744, 0.103003, 0.099071, 0.086934, 0.060153, 0.026124, 0.009743, 0.002063, 0.000959, 0.005646, 0.01453, 0.02659, 0.041141, 0.056266, 0.070867, 0.083567, 0.09264, 0.098667, 0.099997, 0.097866, 0.089792, 0.078351, 0.062614, 0.043668, 0.024286, 0.009496, 0.002691, 0.000366]"
database_normalized\AircraftBuoyant\m1338.obj,AircraftBuoyant,m1338.obj,"[0.6263611691278875, -0.06084472907052795, -0.06204158919519051, -0.15284392833005767, -0.04982019565826213, -0.0792164124647166, 0.01788, 0.04795, 0.07403, 0.09172, 0.10621, 0.11114, 0.1085, 0.10164, 0.08976, 0.0751, 0.05842, 0.04317, 0.03051, 0.02059, 0.01137, 0.00667, 0.00313, 0.00152, 0.00048, 0.00021, 0.024215, 0.02815, 0.045067, 0.088621, 0.169265, 0.217791, 0.221802, 0.138377, 0.004406, 0.030941, 0.004867, 0.002093, 0.005255, 0.000894, 0.005258, 0.001368, 0.003655, 0.002323, 0.0, 0.005652, 0.003207, 0.009601, 0.01732, 0.023555, 0.030471, 0.037678, 0.044161, 0.051832, 0.058, 0.065569, 0.071436, 0.078746, 0.084175, 0.091822, 0.09436, 0.098891, 0.094137, 0.037603, 0.005374, 0.002062, 0.00045, 0.003095, 0.007935, 0.015338, 0.023981, 0.034056, 0.045712, 0.057606, 0.06957, 0.080606, 0.091171, 0.099154, 0.106369, 0.106781, 0.103275, 0.086786, 0.050426, 0.0144, 0.002813, 0.000476, 0.001335, 0.006935, 0.016984, 0.02974, 0.044182, 0.059504, 0.073491, 0.086389, 0.096342, 0.101777, 0.103165, 0.09887, 0.089431, 0.075977, 0.057524, 0.036687, 0.016637, 0.00427, 0.000693, 6.7e-05]"
database_normalized\AircraftBuoyant\m1339.obj,AircraftBuoyant,m1339.obj,"[0.5033671826585002, -0.05978055207753238, 0.7045964932362416, 0.2841958784296734, -0.6562705815402042, -0.07690284361493684, 0.05076, 0.09678, 0.09112, 0.08806, 0.08961, 0.08445, 0.07784, 0.07113, 0.06367, 0.05839, 0.05259, 0.04367, 0.03659, 0.02933, 0.02174, 0.0174, 0.01228, 0.00824, 0.00485, 0.0015, 0.011625, 0.00235, 0.01841, 0.014874, 0.089355, 0.049541, 0.02411, 0.090413, 0.061194, 0.079458, 0.077263, 0.061392, 0.060099, 0.05588, 0.056836, 0.041596, 0.037108, 0.037066, 0.036728, 0.094702, 0.008678, 0.031364, 0.056207, 0.080136, 0.093976, 0.061559, 0.053948, 0.054571, 0.057699, 0.062828, 0.066432, 0.07247, 0.071464, 0.049791, 0.04352, 0.04477, 0.039394, 0.028776, 0.015504, 0.006913, 0.00086, 0.008475, 0.025292, 0.04674, 0.066773, 0.077567, 0.076056, 0.080612, 0.085523, 0.088011, 0.086432, 0.084769, 0.076529, 0.061789, 0.052255, 0.036419, 0.025209, 0.014312, 0.005434, 0.000943, 0.002642, 0.016355, 0.039455, 0.064896, 0.085974, 0.099832, 0.106324, 0.105594, 0.101114, 0.091032, 0.078168, 0.064515, 0.051782, 0.039162, 0.025898, 0.014938, 0.007684, 0.003499, 0.001033, 0.000103]"
database_normalized\AircraftBuoyant\m1340.obj,AircraftBuoyant,m1340.obj,"[-0.6160089448402187, -0.0633916534043878, -0.22851595501779892, -0.31998494374268155, -0.6809316948624887, -0.07290520464432362, 0.08153, 0.11072, 0.10671, 0.07119, 0.06631, 0.06697, 0.06825, 0.06534, 0.06012, 0.05611, 0.04936, 0.04055, 0.03377, 0.02949, 0.02508, 0.02181, 0.0187, 0.01392, 0.01052, 0.00355, 0.108378, 0.067659, 0.024851, 0.035882, 0.046193, 0.043401, 0.05768, 0.05467, 0.067493, 0.061859, 0.070552, 0.073324, 0.044435, 0.070706, 0.053263, 0.050247, 0.038734, 0.0, 0.0, 0.030673, 0.018191, 0.049913, 0.082293, 0.078184, 0.085568, 0.102844, 0.123285, 0.051713, 0.03871, 0.031444, 0.031812, 0.0392, 0.043595, 0.047388, 0.049759, 0.05159, 0.041655, 0.020919, 0.007098, 0.004839, 0.000807, 0.007129, 0.020803, 0.035087, 0.048859, 0.068621, 0.087414, 0.104133, 0.119258, 0.116717, 0.090907, 0.068356, 0.0523, 0.045566, 0.040468, 0.035961, 0.031298, 0.019586, 0.005592, 0.001138, 0.001768, 0.01112, 0.027432, 0.046812, 0.066155, 0.085803, 0.100906, 0.110689, 0.111192, 0.10536, 0.092373, 0.076661, 0.056633, 0.04156, 0.028906, 0.018466, 0.011108, 0.005442, 0.001491, 0.000123]"
database_normalized\AircraftBuoyant\m1341.obj,AircraftBuoyant,m1341.obj,"[-0.5686909511856134, -0.062274468621502835, -0.21951063170772114, -0.30287030624413525, -0.690846809648979, -0.07391829131643002, 0.0758, 0.11863, 0.09831, 0.08016, 0.07502, 0.07283, 0.06739, 0.0609, 0.05666, 0.04896, 0.04361, 0.03743, 0.03242, 0.02745, 0.02483, 0.02428, 0.0227, 0.0175, 0.01137, 0.00375, 0.017126, 0.036596, 0.084884, 0.065405, 0.067773, 0.087031, 0.091123, 0.066404, 0.061567, 0.066609, 0.063796, 0.071717, 0.041823, 0.014745, 0.014617, 0.014979, 0.029321, 0.02926, 0.029676, 0.045548, 0.014673, 0.045933, 0.073207, 0.086905, 0.099864, 0.117709, 0.12977, 0.090721, 0.046305, 0.038472, 0.03586, 0.034214, 0.032211, 0.028902, 0.02768, 0.028624, 0.026317, 0.021388, 0.014994, 0.006251, 0.000566, 0.005737, 0.018835, 0.037973, 0.057253, 0.079065, 0.098156, 0.110383, 0.117736, 0.115046, 0.100537, 0.071896, 0.047779, 0.034553, 0.025192, 0.022824, 0.022032, 0.018784, 0.011907, 0.003746, 0.001835, 0.012163, 0.030104, 0.05335, 0.076751, 0.097493, 0.111718, 0.116251, 0.113045, 0.101921, 0.086256, 0.068053, 0.048571, 0.031199, 0.020264, 0.013387, 0.009121, 0.005744, 0.002417, 0.000357]"
database_normalized\AircraftBuoyant\m1342.obj,AircraftBuoyant,m1342.obj,"[-0.1485733540098519, -0.06244581198946476, -0.012291069451672436, -0.1788349769842261, -0.653380929263845, -0.07664273513897, 0.10732, 0.08165, 0.08011, 0.08131, 0.08085, 0.07839, 0.07156, 0.05932, 0.05667, 0.05278, 0.04949, 0.04375, 0.03981, 0.03226, 0.0258, 0.02154, 0.01606, 0.01202, 0.0068, 0.00251, 0.049735, 0.120155, 0.056652, 0.041806, 0.027986, 0.044871, 0.257484, 0.104714, 0.035942, 0.025397, 0.017878, 0.016443, 0.027417, 0.015682, 0.029054, 0.021356, 0.026251, 0.024155, 0.028925, 0.028097, 0.069461, 0.074552, 0.060028, 0.055917, 0.049991, 0.050089, 0.052532, 0.055372, 0.060469, 0.06329, 0.066122, 0.065338, 0.058201, 0.044476, 0.040734, 0.038297, 0.03334, 0.027099, 0.029328, 0.005364, 0.023549, 0.052325, 0.068394, 0.081745, 0.085141, 0.083654, 0.077866, 0.07046, 0.06347, 0.058021, 0.055822, 0.054446, 0.052866, 0.049242, 0.041647, 0.031789, 0.023741, 0.01591, 0.008858, 0.001054, 0.02197, 0.072043, 0.104481, 0.110705, 0.10631, 0.099493, 0.089709, 0.079444, 0.068225, 0.057638, 0.047642, 0.03919, 0.031589, 0.025583, 0.019161, 0.013291, 0.007923, 0.003979, 0.001444, 0.00018]"
database_normalized\AircraftBuoyant\m1343.obj,AircraftBuoyant,m1343.obj,"[0.28748014916551107, -0.06024639838390348, 0.1291255473434825, -0.04863580272747851, -0.6814198717193438, -0.07891082190768152, 0.02075, 0.05679, 0.08221, 0.09889, 0.10963, 0.10997, 0.10301, 0.09304, 0.07792, 0.06491, 0.05278, 0.04135, 0.02988, 0.02107, 0.01517, 0.00956, 0.00611, 0.00401, 0.00222, 0.00073, 0.004012, 0.004109, 0.005376, 0.00791, 0.009362, 0.006669, 0.014875, 0.010712, 0.045676, 0.186322, 0.147556, 0.097824, 0.083408, 0.048085, 0.065727, 0.10257, 0.080286, 0.051315, 0.0014, 0.026806, 0.003233, 0.016106, 0.028934, 0.041664, 0.054935, 0.066714, 0.078036, 0.086549, 0.095937, 0.100414, 0.102386, 0.096299, 0.092658, 0.085563, 0.01901, 0.009566, 0.007664, 0.006631, 0.004647, 0.003054, 0.000258, 0.002655, 0.009361, 0.021344, 0.037724, 0.054866, 0.070775, 0.085294, 0.095543, 0.102683, 0.106177, 0.105198, 0.098615, 0.086112, 0.066621, 0.0351, 0.011136, 0.006441, 0.00312, 0.000977, 0.001942, 0.007881, 0.020368, 0.037956, 0.057759, 0.07748, 0.093673, 0.104171, 0.108347, 0.10597, 0.099344, 0.087291, 0.073217, 0.055225, 0.037163, 0.020637, 0.008035, 0.002518, 0.000874, 0.000149]"
database_normalized\AircraftBuoyant\m1344.obj,AircraftBuoyant,m1344.obj,"[-0.1659912177707654, -0.06322016433250308, -0.027526449294882863, -0.21327403354664962, -0.6541309471065947, -0.07686951584062185, 0.1258, 0.06247, 0.07279, 0.08178, 0.08304, 0.08322, 0.07492, 0.06258, 0.05586, 0.05338, 0.04605, 0.03973, 0.03477, 0.02923, 0.02312, 0.02149, 0.02135, 0.01584, 0.00884, 0.00374, 0.062713, 0.020458, 0.024471, 0.0178, 0.047121, 0.019308, 0.180516, 0.100044, 0.127694, 0.031953, 0.038439, 0.045018, 0.01671, 0.029506, 0.024512, 0.021666, 0.030684, 0.016795, 0.060085, 0.084507, 0.071413, 0.111376, 0.031795, 0.020587, 0.027752, 0.034408, 0.040575, 0.047193, 0.052025, 0.058433, 0.063861, 0.065772, 0.07087, 0.060425, 0.044459, 0.043939, 0.049583, 0.061922, 0.034747, 0.008865, 0.032568, 0.079208, 0.052963, 0.075344, 0.089647, 0.097964, 0.06315, 0.040211, 0.042911, 0.048301, 0.053767, 0.056891, 0.057975, 0.055153, 0.046243, 0.036778, 0.030951, 0.024558, 0.013274, 0.002143, 0.040192, 0.09328, 0.108288, 0.113569, 0.093665, 0.085159, 0.083098, 0.075089, 0.061478, 0.048381, 0.04071, 0.038057, 0.034423, 0.028874, 0.022468, 0.015629, 0.009972, 0.005446, 0.002012, 0.00021]"
database_normalized\AircraftBuoyant\m1345.obj,AircraftBuoyant,m1345.obj,"[0.1993728924351928, -0.05990009368215912, 0.5980379520247117, 0.05456727975574221, -0.6889841147705525, -0.07753791771592325, 0.05348, 0.09026, 0.09181, 0.09182, 0.08602, 0.08277, 0.08065, 0.07562, 0.06892, 0.05925, 0.04659, 0.03906, 0.03353, 0.0267, 0.02197, 0.01779, 0.01344, 0.01055, 0.00692, 0.00285, 0.094736, 0.126221, 0.060993, 0.008404, 0.181832, 0.015961, 0.035522, 0.010464, 0.095008, 0.018234, 0.026708, 0.037597, 0.042622, 0.030448, 0.041862, 0.112325, 0.020641, 0.00155, 0.008328, 0.030544, 0.010561, 0.036908, 0.057024, 0.072451, 0.067693, 0.06503, 0.078404, 0.080839, 0.081733, 0.089022, 0.094413, 0.081756, 0.062661, 0.048148, 0.024151, 0.016526, 0.009212, 0.007832, 0.008717, 0.006919, 0.003987, 0.014248, 0.032756, 0.054511, 0.071429, 0.085117, 0.095963, 0.10304, 0.106247, 0.10001, 0.088992, 0.078969, 0.061454, 0.042589, 0.028978, 0.016263, 0.007821, 0.00444, 0.002624, 0.000562, 0.006186, 0.023376, 0.047843, 0.073306, 0.093741, 0.107108, 0.111969, 0.109926, 0.100825, 0.088868, 0.075004, 0.059047, 0.042776, 0.027784, 0.01663, 0.009103, 0.004143, 0.001658, 0.000586, 0.000121]"
database_normalized\AircraftBuoyant\m1346.obj,AircraftBuoyant,m1346.obj,"[-0.551325606513234, -0.059928834888815834, -0.22709801678210328, -0.2955942609761986, -0.5512054290282045, -0.07309624596012948, 0.0544, 0.11637, 0.1215, 0.10457, 0.08109, 0.06703, 0.05619, 0.05008, 0.04382, 0.04141, 0.03991, 0.03692, 0.03701, 0.03594, 0.03382, 0.02936, 0.02478, 0.0162, 0.00778, 0.00182, 0.120991, 0.116456, 0.082826, 0.077683, 0.045612, 0.051701, 0.044626, 0.04543, 0.047596, 0.050313, 0.049257, 0.049038, 0.047388, 0.043002, 0.044146, 0.028877, 0.024002, 0.016854, 0.009525, 0.004677, 0.01155, 0.040795, 0.068921, 0.101317, 0.131898, 0.116938, 0.096861, 0.084159, 0.073081, 0.060924, 0.05128, 0.041129, 0.032764, 0.027245, 0.022495, 0.017185, 0.011815, 0.006701, 0.002512, 0.00043, 0.000678, 0.005737, 0.017916, 0.035063, 0.053216, 0.073164, 0.091754, 0.107624, 0.115039, 0.116226, 0.110141, 0.098141, 0.079575, 0.05577, 0.027506, 0.008788, 0.002802, 0.000663, 0.000156, 4.1e-05, 0.00122, 0.008085, 0.020574, 0.037693, 0.056624, 0.074846, 0.090416, 0.102615, 0.10955, 0.110316, 0.105757, 0.095318, 0.079082, 0.057137, 0.033405, 0.012691, 0.003765, 0.000765, 0.000134, 7e-06]"
